nome,url,url_canonical,indirizzo,cap,citta,provincia,regione,paese,telefono,email,sito_web,padiglione,stand,coespositore,espositore_principale,partita_iva,marchi,categorie,descrizione
PLAST,https://dp-plast.fieramilano.it/exhibitor/1,https://dp-plast.fieramilano.it/exhibitor/1,,,,,,,,,,,,,,,,,
ALFA STAMPI,https://dp-plast.fieramilano.it/exhibitor/2,https://dp-plast.fieramilano.it/exhibitor/2,Via Guglielmo Marconi 41,24060,ADRARA SAN MARTINO,BG,Lombardia,Italy,+39 035 933237,info@alfastampi.com,http://www.alfastampi.com,11,B15,,,,,"STAMPI, ALTRI | STAMPI PER INIEZIONE/COMPRESSIONE | SEMILAVORATI, LASTRE E BLOCCHI | ALTRI SEMILAVORATI E PRODOTTI DI FINITURA | STAMPAGGIO A INIEZIONE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | SEMILAVORATI E PRODOTTI DI FINITURA | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C | FORNITURA DI LAVORAZIONI PER CONTO TERZI","PROGETTAZIONE, PRODUZIONE DI STAMPI PER ARTICOLI TECNICI IN GOMMA E BICOMPONENTI"
SVERITAL,https://dp-plast.fieramilano.it/exhibitor/3,https://dp-plast.fieramilano.it/exhibitor/3,Via Santa Maria 108,20093,COLOGNO MONZESE,MI,Lombardia,Italy,+39 02 251561,info@sverital.it,http://www.sverital.it,22,C121 D122,,,,,"SALDATRICI A LASER | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E MARCATURA, ALTRE E LINEE DI CONFEZIONAMENTO | SISTEMI A CANALI CALDI | ATTREZZATURE PER INCISIONE / PULIZIA STAMPI E FILIERE | ATTREZZATURE DI DOSAGGIO | UNITÀ DI RISCALDAMENTO E RAFFREDDAMENTO PER STAMPI E FILIERE | SEPARATORI DI MATEROZZE | SISTEMI DI ESTRAZIONE POLVERI E FUMI | DISPOSITIVI E SISTEMI DI CONTROLLO E SUPERVISIONE, ALTRI | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA, ALTRE | CILINDRI DI PLASTIFICAZIONE | INGEGNERIA DI PRODUZIONE | AUTOMAZIONE, ROBOTICA E INFORMATICA | SALDATRICI PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E E MARCATURA DI PRODOTTI I",
PROFILE DIES,https://dp-plast.fieramilano.it/exhibitor/4,https://dp-plast.fieramilano.it/exhibitor/4,"Via delle Industrie 2, Frazione Torba",21040,GORNATE OLONA,VA,Lombardia,Italy,+39 0331 855010,info@profiledies.com,http://www.profiledies.it,13,G25 H26,,,,,"IMPIANTI D'ESTRUSIONE PER FILM-FOGLIE-LASTRE | ESTRUSORI MONOVITE | ESTRUSORI, ALTRI | IMPIANTI D'ESTRUSIONE PER TUBI E PROFILI | IMPIANTI D'ESTRUSIONE, ALTRI | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA",
FARCON,https://dp-plast.fieramilano.it/exhibitor/5,https://dp-plast.fieramilano.it/exhibitor/5,Via Fontanella 10,22043,SOLBIATE CON CAGNO,CO,Lombardia,Italy,+39 031 806827,farcon@farcon.it,http://www.farcon.it,15,C47 C49,,,,,FILIERE D'ESTRUSIONE | POMPE PER MASSE FUSE | CAMBIAFILTRI | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA,"Farcon Plastic Processing Machinery S.r.l. è un'officina meccanica specializzata nella progettazione, costruzione, revisione e riparazione di attrezzature ausiliarie per impianti di estrusione di materie plastiche.
 Fondata con l'obiettivo di rispondere alle esigenze di un mercato in continua evoluzione, l'azienda si impegna a offrire soluzioni su misura, combinando esperienza pluriennale, innovazione tecnologica e competenze specialistiche.
 Grazie a un team altamente qualificato e a una dotazione tecnologica all'avanguardia, siamo in grado di realizzare componenti meccanici di alta precisione e garantire elevati standard qualitativi in ogni fase della produzione."
PROVER,https://dp-plast.fieramilano.it/exhibitor/6,https://dp-plast.fieramilano.it/exhibitor/6,Via Sandro Pertini 35/B,23807,MERATE,LC,Lombardia,Italy,+39 039 9284924,info@prover.it,http://www.prover.it,24,C62 C68,,,,,"STAMPI, ALTRI | STAMPAGGIO A INIEZIONE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | FORNITURA DI LAVORAZIONI PER CONTO TERZI | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C","Progettazione, costruzioni stampi e stampaggio articoli in plastica e LSR"
DIAP,https://dp-plast.fieramilano.it/exhibitor/7,https://dp-plast.fieramilano.it/exhibitor/7,Via Vepre snc,60043,CERRETO D'ESI,AN,Marche,Italy,+39 0732 677213,info@diap.it,http://www.diap.it,9,B101,,,,,"COPOLIMERI DI POLIPROPILENE (PPCP) | OMOPOLIMERI DI POLIPROPILENE (PPHP) | POLIPROPILENE RIGENERATO (R PP) | MASTERBATCH RITARDANTI DI FIAMMA | POLIOLEFINICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | PIGMENTI, COLORANTI E MASTERBATCH",Produttore compound e masterbatch flame retardant su base PP
C2,https://dp-plast.fieramilano.it/exhibitor/8,https://dp-plast.fieramilano.it/exhibitor/8,Via Carlo Gazzo 25,27029,VIGEVANO,PV,Lombardia,Italy,+39 0381 344813,info@c2macchinegomma.it,http://www.c2macchinegomma.it,11,C16,,,,,"MESCOLATORI A CILINDRI | ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | IMPIANTI DI MESCOLAZIONE | ESTRUSORI MONOVITE | ESTRUSORI, ALTRI | IMPIANTI D'ESTRUSIONE PER GOMMA | PRESSE, ALTRE | PRESSE A COMPRESSIONE E TRANSFER | MACCHINE A INIEZIONE PER GOMMA | CALANDRE | MACCHINE PER LA LAVORAZIONE DELLA GOMMA, ALTRE | TAGLIERINE | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA, ALTRE | MISCELATORI, ALTRI | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | PRESSE PER  MATERIE PLASTICHE E GOMMA | MACCHINE A INIEZIONE PER  MATERIE PLASTICHE","Da oltre 40 anni ci occupiamo di revisionare, personalizzare e costruire macchine nuove per la lavorazione della gomma e delle materie plastiche."
TAKIN,https://dp-plast.fieramilano.it/exhibitor/9,https://dp-plast.fieramilano.it/exhibitor/9,Corso Noblesville 17,35013,CITTADELLA,PD,Veneto,Italy,+39 049 9408532,info@takin.it,http://www.takin.it,13,N25,,,,,"ESTRUSORI, ALTRI | MACCHINE PER ESPANSI, ALTRE | CORRUGATORI PER TUBI E LASTRE | TAGLIERINE | AVVOLGITORI-BOBINATORI | MACCHINE PER TAGLIO LONGITUDINALE E PELATURA | REGGIATRICI | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE PER ESPANSI E RESINE REATTIVE O RINFORZATE | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E E MARCATURA DI PRODOTTI IN MATERIE PLASTICHE",
CDG,https://dp-plast.fieramilano.it/exhibitor/10,https://dp-plast.fieramilano.it/exhibitor/10,Via Astico 20,36010,CARRE',VI,Veneto,Italy,+39 0445 319360,amministrazione@cdg1971.it,http://www.cdg1971.it,11,B02,,,,,MACCHINE A INIEZIONE PER GOMMA | MACCHINE A INIEZIONE MULTISTAZIONE | MACCHINE A INIEZIONE PER TERMOPLASTICI FINO A 250 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA,
COLOMBO,https://dp-plast.fieramilano.it/exhibitor/11,https://dp-plast.fieramilano.it/exhibitor/11,Via Carlo dell'Acqua 50,20027,RESCALDINA,MI,Lombardia,Italy,+39 0331 576022,info@colombosrl.com,http://www.colombosrl.com,15,L41 M42,,,,,"PARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA, ALTRE | FILTRI PER MASSE FUSE | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA",
BRUNO FOLCIERI,https://dp-plast.fieramilano.it/exhibitor/12,https://dp-plast.fieramilano.it/exhibitor/12,Via Sopracomune 1,26030,VOLONGO,CR,Lombardia,Italy,+39 0372 845921,info@folcieri.com,http://www.brunofolcieri.it,15,N41 P42,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | IMPIANTI DI RICICLAGGIO | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA",
GFB GROUP,https://dp-plast.fieramilano.it/exhibitor/13,https://dp-plast.fieramilano.it/exhibitor/13,Via Botticelli 1,20022,CASTANO PRIMO,MI,Lombardia,Italy,+39 0331 883734,info@gfbgroup.it,http://www.gfbgroup.it,13,A13 A15,,,,,"MACCHINE PER ESTRUSIONE/SOFFIAGGIO | MACCHINE PER LA LAVORAZIONE DELLA GOMMA, ALTRE | TAGLIERINE | MACCHINE PER LAVORAZIONE SECONDARIA, ALTRE | FILIERE D'ESTRUSIONE | LAME E COLTELLI PER MACCHINE | ALTRE LAVORAZIONI MECCANICHE | MACCHINE PER SOFFIAGGIO DI  MATERIE PLASTICHE | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE TRASFORMATRICI PER  MATERIE PLASTICHE E GOMMA,ALTRE | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E GOMMA | LAVORAZIONI SECONDARIE | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C",
IMEX ITALIA,https://dp-plast.fieramilano.it/exhibitor/14,https://dp-plast.fieramilano.it/exhibitor/14,Via Valpolicella 70,37029,SAN PIETRO IN CARIANO,VR,Veneto,Italy,+39 045 6801792,info@imexitaliapresse.it,http://www.imexitaliapresse.it,24,C12 C16,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | MACCHINE A INIEZIONE PER TERMOPLASTICI OLTRE 10000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER GOMMA | MACCHINE A INIEZIONE PER MULTICOMPONENTI | MACCHINE A INIEZIONE MULTISTAZIONE | MACCHINE A INIEZIONE PER TERMOPLASTICI FINO A 250 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 4000 KN FINO A 10000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 250 KN FINO A 1000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 1000 KN FINO A 4000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOINDURENTI | DOSATORI E MISCELATORI | ATTREZZATURE DI MANIPOLAZIONE PER CARICO/SCARICO DELLE MACCHINE | ESSICCATORI/DEUMIDIFICATORI PER MATERIALI IN MASSA | A","Imex Italia ha ampliato nel corso degli anni l'offerta prodotti, per soddisfare al meglio ogni necessità, fornendo soluzioni personalizzate e progetti su misura. Presse orizzontali, verticali, idrauliche, ibride o elettriche. Un’ampia gamma di modelli di diverso tonnellaggio e con forza di chiusura da 150 a 68.000 kN ci permette di soddisfare svariati settori tra cui automotive, medicale, elettronico, elettrico e molti altri ancora."
OMG,https://dp-plast.fieramilano.it/exhibitor/15,https://dp-plast.fieramilano.it/exhibitor/15,Via Torino 78,10040,GIVOLETTO,TO,Piemonte,Italy,+39 011 9947156,info@omgitaly.com,http://www.omgitaly.com,13,L02 L04,,,,,"TERMOFORMATRICI | BLISTERATRICI | FUSTELLATRICI E PERFORATRICI | PALLETTIZZATRICI | STAMPI PER TERMOFORMATURA | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E E MARCATURA DI PRODOTTI IN MATERIE PLASTICHE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA",
OMP CONVEYORS,https://dp-plast.fieramilano.it/exhibitor/16,https://dp-plast.fieramilano.it/exhibitor/16,Via Pablo Neruda 34,25020,FLERO,BS,Lombardia,Italy,+39 030 3581711,info@ompconveyors.com,http://www.ompconveyors.com,24,D66,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | MACCHINE A INIEZIONE PER TERMOPLASTICI OLTRE 10000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE, ALTRE | MACCHINE A INIEZIONE PER TERMOPLASTICI FINO A 250 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 4000 KN FINO A 10000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 250 KN FINO A 1000 KN DI FORZA DI CHIUSURA | MACCHINE A INIEZIONE PER TERMOPLASTICI DA 1000 KN FINO A 4000 KN DI FORZA DI CHIUSURA | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE A INIEZIONE PER  MATERIE PLASTICHE E GOMMA",
